iter	Passed	Remaining
914	29282	2720
915	29312	2688
916	29337	2655
917	29362	2622
918	29393	2590
919	29426	2558
920	29451	2526
921	29479	2493
922	29503	2461
923	29526	2428
924	29556	2396
925	29577	2363
926	29606	2331
927	29632	2299
928	29661	2266
929	29687	2234
930	29716	2202
931	29744	2170
932	29771	2137
933	29796	2105
934	29825	2073
935	29860	2041
936	29891	2009
937	29918	1977
938	29950	1945
939	29972	1913
940	30000	1880
941	30028	1848
942	30056	1816
943	30080	1784
944	30108	1752
945	30135	1720
946	30164	1688
947	30190	1656
948	30216	1623
949	30240	1591
950	30265	1559
951	30289	1527
952	30317	1495
953	30337	1462
954	30359	1430
955	30385	1398
956	30407	1366
957	30434	1334
958	30463	1302
959	30493	1270
960	30525	1238
961	30561	1207
962	30588	1175
963	30615	1143
964	30647	1111
965	30669	1079
966	30697	1047
967	30731	1015
968	30756	983
969	30783	952
970	30804	920
971	30838	888
972	30863	856
973	30890	824
974	30923	792
975	30957	761
976	30982	729
977	31014	697
978	31039	665
979	31072	634
980	31099	602
981	31131	570
982	31159	538
983	31188	507
984	31214	475
985	31236	443
986	31263	411
987	31285	379
988	31312	348
989	31338	316
990	31375	284
991	31405	253
992	31429	221
993	31451	189
994	31476	158
995	31511	126
996	31537	94
997	31562	63
998	31591	31
999	31614	0
